product_id,Type,air_temp,process_temp,speed,torque,tool_wear,air_temp_phase,process_temp_phase,speed_phase,torque_phase,tool_wear_phase,in_pocket,target_real,target
L47219,L,298.8,309.1,1350,52.5,111,-1.15964,-1.25227,-2.65224,2.49002,0.113552,0,0,0
L47220,L,298.8,309.1,1362,45.4,113,-1.20083,-1.25103,-2.5301,1.27757,0.176124,0,0,0
L47221,L,298.8,309.1,1368,50.8,115,-1.14684,-1.28928,-2.48767,2.30876,0.189244,0,0,0
M14902,M,298.8,309.1,1368,49.1,117,-1.1774,-1.24832,-2.48866,1.98633,0.273792,0,0,0
H29457,H,298.8,309.2,1372,48.5,120,-1.15553,-1.11861,-2.40663,1.89571,0.313735,0,0,0
M14904,M,298.8,309.1,1472,47.5,125,-1.16352,-1.28393,-0.619405,1.72385,0.504883,0,0,0
L47225,L,298.8,309.1,1489,49.1,128,-1.15269,-1.28239,-0.268573,2.00792,0.566289,0,0,0
M14906,M,298.7,309,1843,25.8,130,-1.22226,-1.38634,2.79151,-2.64125,0.679817,0,0,0
L47227,L,298.8,309.1,1418,46.3,133,-1.1893,-1.24359,-1.66149,1.47407,0.699538,0,0,0
H29462,H,298.8,309.2,1425,53.9,135,-1.17128,-1.13716,-1.52752,2.65532,0.762933,0,0,0
M14909,M,298.9,309.2,1412,44.1,140,-0.913417,-1.11287,-1.81555,0.954712,0.885195,0,0,0
L47230,L,298.9,309.1,2861,4.6,143,-1.00028,-1.26755,3.14159,-3.13908,0.982801,0,1,1
L47231,L,298.9,309.1,1383,54.9,145,-0.946526,-1.2312,-2.24466,2.74765,1.0743,0,0,0
H29466,H,298.8,309,1497,43.8,147,-1.16445,-1.3552,-0.0904221,0.894327,1.11106,0,0,0
L47233,L,298.7,309,1565,35.1,152,-1.21217,-1.38562,1.02624,-1.21263,1.25608,0,0,0
L47234,L,298.7,309,1691,30.1,154,-1.22128,-1.39905,2.2722,-2.09796,1.32873,0,0,0
L47235,L,298.8,309.1,1512,40.7,156,-1.14915,-1.2921,0.111406,0.158632,1.37196,0,0,0
L47236,L,298.8,309.1,1477,42.4,158,-1.1623,-1.30048,-0.508356,0.547156,1.47486,0,0,0
L47237,L,298.8,309.1,1513,40.3,160,-1.15664,-1.27968,0.213106,0.0570676,1.47661,0,0,0
M14918,M,298.8,309,1661,29.5,162,-1.1959,-1.34181,2.03776,-2.20874,1.57255,0,0,0
L47239,L,298.8,309.1,1378,54.4,165,-1.15673,-1.2784,-2.32762,2.6955,1.63943,0,0,0
L47240,L,298.8,309.1,1393,52.6,167,-1.12807,-1.27788,-2.0919,2.4932,1.67968,0,0,0
M14921,M,298.8,309,1592,38.2,169,-1.12562,-1.35677,1.3425,-0.443291,1.72235,0,0,0
L47242,L,298.8,309,1829,22.9,172,-1.15839,-1.35635,2.75078,-2.86245,1.82179,0,0,0
M14923,M,298.9,309,1812,25.9,174,-0.932432,-1.40694,2.71308,-2.65948,1.92621,0,0,0
L47244,L,299,309.1,1523,38.6,177,-0.814947,-1.18132,0.382033,-0.369126,1.97314,0,0,0
L47245,L,299,309.1,1394,45.1,179,-0.796963,-1.17782,-2.09112,1.22344,2.07638,0,0,0
M14926,M,298.9,308.9,1679,28.7,181,-0.939158,-1.53244,2.13203,-2.32248,2.07207,0,0,0
H29481,H,298.8,308.9,1466,44.1,184,-1.18861,-1.50342,-0.720883,0.988295,2.20918,0,0,0
L47248,L,298.8,308.9,1527,32.4,189,-1.16254,-1.51857,0.456563,-1.7271,2.31009,0,0,0
L47249,L,298.9,309,1410,65.7,191,-0.960432,-1.37487,-1.78532,3.12654,2.36468,0,1,1
M14930,M,298.9,309,1924,22.6,193,-0.949846,-1.38642,2.92407,-2.87646,2.45505,0,0,0
L47251,L,298.9,309.1,1452,45.5,196,-0.926176,-1.23277,-0.991976,1.30381,2.53013,0,0,0
L47252,L,298.9,309.1,1369,44.4,198,-0.921412,-1.19126,-2.42886,1.04632,2.5672,0,0,0
L47253,L,299,309.1,1592,35,200,-0.793661,-1.25002,1.31234,-1.21221,2.65463,0,0,0
L47254,L,298.9,309,1601,32.3,202,-0.933853,-1.41116,1.43299,-1.74868,2.72613,0,0,0
L47255,L,298.8,308.9,1379,46.7,204,-1.09807,-1.52593,-2.31806,1.52759,2.76882,0,0,0
L47256,L,298.8,308.9,1461,47.9,206,-1.15744,-1.55393,-0.807261,1.78748,2.84119,0,0,0
L47257,L,298.8,308.9,1455,41.3,208,-1.12009,-1.5048,-0.917715,0.317224,2.85338,0,1,1
L47258,L,298.8,308.9,1398,51.5,0,-1.14849,-1.53831,-2.03567,2.35339,-3.05251,0,0,0
L47259,L,298.8,308.9,1402,37.9,2,-1.14391,-1.52845,-1.91739,-0.564649,-3.05078,0,0,0
H29494,H,298.8,308.8,1445,49.9,4,-1.13595,-1.61982,-1.13569,2.16032,-2.98942,0,0,0
L47261,L,298.9,308.9,1450,47.5,9,-0.954493,-1.55203,-1.01905,1.72679,-2.87013,0,0,0
L47262,L,298.9,308.9,1453,40.8,11,-0.902643,-1.52208,-0.920952,0.174224,-2.77963,0,0,0
L47263,L,299,309,1469,40.1,13,-0.832746,-1.32685,-0.648478,0.0408613,-2.73325,0,0,0
L47264,L,298.9,308.9,1422,47.6,15,-0.925692,-1.56998,-1.60767,1.77048,-2.70199,0,0,0
M14945,M,299,309,1804,26.8,17,-0.780604,-1.30864,2.67367,-2.56572,-2.60257,0,0,0
H29500,H,299,309,1436,43.9,20,-0.803667,-1.32422,-1.32816,0.930417,-2.54481,0,0,0
L47267,L,299,309,1544,31.8,25,-0.829096,-1.31258,0.702839,-1.86496,-2.36461,0,0,0
M14948,M,299,309,1419,45.2,27,-0.816933,-1.32864,-1.6263,1.21329,-2.28382,0,0,0
M14949,M,298.9,308.9,1487,39.5,30,-0.943937,-1.51688,-0.307709,-0.151111,-2.20213,0,0,0
L47270,L,298.9,308.9,1753,25.8,33,-0.94652,-1.50187,2.54217,-2.67416,-2.14681,0,0,0
L47271,L,298.9,308.9,1830,24.9,35,-0.943009,-1.49539,2.74176,-2.71481,-2.1038,0,0,0
M14952,M,298.9,308.9,1727,27.1,37,-0.931647,-1.53682,2.39327,-2.5286,-2.00201,0,0,0
L47273,L,299.1,309,1450,43,40,-0.73075,-1.32898,-1.04122,0.694636,-1.93926,0,0,0
L47274,L,299,308.9,1622,31.9,42,-0.820709,-1.53025,1.68833,-1.82812,-1.88667,0,0,0
M14955,M,299,309,1351,52.2,44,-0.824618,-1.33209,-2.6967,2.49929,-1.81439,0,0,0
M14956,M,299,309,1575,35.3,47,-0.80094,-1.30909,1.14328,-1.15354,-1.69945,0,0,0
M14957,M,298.9,308.9,1750,29.9,50,-0.966084,-1.54885,2.51094,-2.18151,-1.64099,0,0,0
L47278,L,298.9,308.8,1529,32.7,53,-0.943349,-1.62866,0.420497,-1.67748,-1.54894,0,0,0
L47279,L,298.8,308.8,1523,44.4,55,-1.2348,-1.59828,0.326888,1.07418,-1.5267,0,0,0
L47280,L,298.8,308.9,1852,25,57,-1.14077,-1.54846,2.77993,-2.67939,-1.4416,0,0,0
L47281,L,298.8,308.8,1991,20.7,59,-1.14246,-1.62558,2.95449,-2.97511,-1.38449,0,0,0
L47282,L,298.8,308.8,1555,40.6,61,-1.13548,-1.60943,0.831135,0.133449,-1.34003,0,0,0
M14963,M,298.8,308.8,1441,40.5,63,-1.10736,-1.56959,-1.21382,0.0918022,-1.29281,0,0,0
L47284,L,298.8,308.7,1450,43.4,66,-1.1447,-1.66136,-1.0313,0.798775,-1.18577,0,0,0
L47285,L,298.8,308.7,1591,31.1,68,-1.14405,-1.64214,1.33246,-1.96704,-1.14773,0,0,0
L47286,L,298.8,308.7,1445,48.5,70,-1.13666,-1.66,-1.13855,1.91597,-1.11015,0,0,0
M14967,M,298.8,308.8,1497,46.8,72,-1.14125,-1.63315,-0.123228,1.56837,-1.05907,0,0,0
H29522,H,298.9,308.8,1621,32.7,75,-0.957298,-1.60265,1.66094,-1.67824,-0.951521,0,0,0
L47289,L,298.9,308.7,1572,34.1,80,-0.978031,-1.65002,1.09133,-1.39083,-0.80037,0,0,0
L47290,L,298.8,308.6,1872,22.5,82,-1.14857,-1.90125,2.83057,-2.89182,-0.730683,0,0,0
H29525,H,298.7,308.6,1499,43.5,84,-1.28647,-1.8792,-0.0739932,0.849813,-0.6794,0,0,0
M14972,M,298.8,308.7,1498,39.5,89,-1.16572,-1.66426,-0.072396,-0.128675,-0.54156,0,0,0
M14973,M,298.8,308.6,1486,41.9,92,-1.18231,-1.8764,-0.297996,0.460959,-0.460592,0,0,0
L47294,L,298.8,308.6,1680,29.4,95,-1.18255,-1.84129,2.1613,-2.28589,-0.352797,0,0,0
L47295,L,298.8,308.6,1431,45.7,97,-1.18061,-1.91246,-1.4217,1.35529,-0.304926,0,0,0
L47296,L,298.9,308.7,1564,34.1,99,-0.952452,-1.62223,1.01677,-1.39222,-0.254587,0,0,0
L47297,L,298.8,308.6,1599,33,101,-1.17473,-1.88596,1.43385,-1.59461,-0.200428,0,0,0
M14978,M,298.8,308.6,1707,28.1,103,-1.12898,-1.88689,2.33779,-2.39403,-0.131888,0,0,0
L47299,L,298.7,308.5,1467,40.7,106,-1.23365,-2.02436,-0.694511,0.175319,-0.0781714,0,0,0
L47300,L,298.9,308.7,1433,44.7,108,-0.990032,-1.64872,-1.38246,1.12615,-0.0361528,0,0,0
L47301,L,298.9,308.7,1558,41.2,110,-0.963917,-1.67296,0.881525,0.231674,0.0665016,0,0,0
L47302,L,299,308.8,1310,50.7,112,-0.788501,-1.59742,-2.97548,2.26134,0.130432,0,0,0
L47303,L,298.9,308.7,1546,43.4,114,-1.0112,-1.68104,0.72809,0.835797,0.212143,0,0,0
L47304,L,298.9,308.7,1727,29.4,116,-0.932657,-1.67293,2.43355,-2.21762,0.239598,0,0,0
L47305,L,298.9,308.6,1560,32.2,118,-0.955534,-1.85269,0.970003,-1.76907,0.287744,0,0,0
L47306,L,299,308.6,1329,60.5,120,-0.803106,-1.8427,-2.85286,3.03746,0.339751,0,0,0
L47307,L,298.9,308.6,1413,46.5,122,-0.957822,-1.8729,-1.74388,1.52479,0.39424,0,0,0
L47308,L,299,308.6,1587,38.6,124,-0.826006,-1.86157,1.27142,-0.390789,0.487296,0,0,0
L47309,L,298.9,308.5,1559,34.3,126,-0.943594,-2.04442,0.902495,-1.32685,0.526444,0,0,0
L47310,L,298.8,308.4,1473,41.1,128,-1.15585,-2.16991,-0.58414,0.245053,0.566206,0,0,0
L47311,L,298.8,308.4,1737,27.7,130,-1.14165,-2.1471,2.4524,-2.45872,0.629147,0,0,0
M14992,M,298.7,308.4,1441,43.2,132,-1.18271,-2.16558,-1.23118,0.785433,0.736236,0,0,0
M14993,M,298.7,308.4,1430,49.6,135,-1.20943,-2.1523,-1.43856,2.12831,0.773171,0,0,0
L47314,L,298.8,308.4,1369,53,138,-1.20736,-2.15185,-2.43356,2.53533,0.830071,0,0,0
M14995,M,298.8,308.5,1711,28.5,140,-1.20903,-2.03972,2.34825,-2.36122,0.942645,0,0,0
H29550,H,298.7,308.5,1420,45.7,143,-1.23766,-2.0591,-1.6246,1.31769,1.00279,0,0,0
L47317,L,298.7,308.6,1297,55.3,148,-1.27116,-1.84378,-3.01804,2.76458,1.15251,0,0,0
H29552,H,298.8,308.6,1449,49.4,150,-1.19039,-1.85178,-1.07524,2.04988,1.21986,0,0,0
L47319,L,298.8,308.6,1268,55.8,155,-1.13342,-1.84479,-3.09261,2.82691,1.3936,0,0,0
L47320,L,298.8,308.6,1511,36.1,157,-1.18371,-1.87061,0.165925,-0.935422,1.42055,0,0,0
L47321,L,298.7,308.5,1544,35.2,159,-1.24324,-2.00952,0.718117,-1.16835,1.48112,0,0,0
M15002,M,298.6,308.4,1778,28.2,161,-1.37352,-2.10876,2.62218,-2.38302,1.55523,0,0,0
H29557,H,298.6,308.4,1407,50.5,164,-1.33918,-2.19491,-1.85718,2.2223,1.60346,0,0,0
M15004,M,298.6,308.4,1391,42.4,169,-1.34381,-2.16416,-2.16708,0.570662,1.75965,0,0,0
L47325,L,298.5,308.4,1513,33.6,172,-1.3874,-2.11648,0.183607,-1.52045,1.82341,0,0,0
H29560,H,298.5,308.4,1612,36.1,174,-1.43126,-2.16486,1.57208,-0.991004,1.89966,0,0,0
L47327,L,298.4,308.4,1515,40.1,179,-1.51838,-2.1451,0.218036,0.00535127,2.04906,0,0,0
M15008,M,298.3,308.3,1379,48,181,-1.60515,-2.36436,-2.32922,1.8187,2.15529,0,0,0
L47329,L,298.4,308.3,1473,39.9,184,-1.44919,-2.32505,-0.551685,-0.0741623,2.20881,0,0,0
L47330,L,298.4,308.3,1422,42.7,186,-1.49055,-2.35223,-1.60144,0.63487,2.23534,0,0,0
M15011,M,298.4,308.2,1463,37.6,188,-1.50367,-2.44857,-0.759885,-0.572968,2.30736,0,0,0
M15012,M,298.4,308.2,1584,41,191,-1.50551,-2.4156,1.27049,0.196065,2.38252,0,0,0
L47333,L,298.4,308.2,1850,27,194,-1.48174,-2.42023,2.7994,-2.50764,2.45605,0,0,0
L47334,L,298.4,308.2,1528,36.2,196,-1.4972,-2.45362,0.464917,-0.966121,2.51966,0,0,0
H29569,H,298.4,308.2,1987,19.8,198,-1.50881,-2.43057,3.00009,-2.97514,2.57133,0,0,0
M15016,M,298.4,308.1,1495,46,203,-1.48133,-2.48238,-0.151857,1.41477,2.71007,0,0,0
H29571,H,298.4,308.2,1478,43.5,206,-1.53725,-2.45188,-0.499624,0.812318,2.8289,0,0,0
M15018,M,298.4,308.2,1499,40,211,-1.48884,-2.41336,-0.0822188,-0.0454321,2.90499,0,0,0
L47339,L,298.4,308.2,1471,47,214,-1.51284,-2.48642,-0.601704,1.61161,2.94088,0,0,0
L47340,L,298.4,308.2,1282,60.7,216,-1.47989,-2.45927,-3.05812,3.0215,3.02071,0,1,1
L47341,L,298.3,308.1,1412,52.3,218,-1.59423,-2.45745,-1.77121,2.47933,3.04455,0,1,1
L47342,L,298.3,308.1,1586,35.5,0,-1.65679,-2.48861,1.27501,-1.10452,-3.14159,0,0,0
M15023,M,298.4,308.2,1468,43.8,2,-1.45989,-2.4493,-0.689302,0.865889,-3.03067,0,0,0
M15024,M,298.5,308.3,1440,43.6,5,-1.42148,-2.38281,-1.22683,0.840747,-2.93735,0,0,0
L47345,L,298.5,308.4,1733,26,8,-1.43355,-2.15873,2.47347,-2.57651,-2.88434,0,0,0
H29580,H,298.4,308.2,1612,32.6,10,-1.50123,-2.4663,1.5824,-1.70403,-2.82047,0,0,0
H29581,H,298.4,308.3,1458,42.9,15,-1.49191,-2.38739,-0.879,0.690749,-2.70577,0,0,0
L47348,L,298.4,308.3,1433,62.3,20,-1.5196,-2.37545,-1.38154,3.06091,-2.56289,0,1,1
L47349,L,298.4,308.3,1318,59.1,22,-1.48363,-2.35059,-2.90522,2.96503,-2.48484,0,0,0
M15030,M,298.4,308.2,1610,35,24,-1.45858,-2.45982,1.5295,-1.22776,-2.37781,0,0,0
L47351,L,298.2,308.1,1462,50.8,27,-1.7175,-2.4659,-0.782104,2.30176,-2.32141,0,0,0
M15032,M,298.1,308,1924,20.8,29,-1.81114,-2.56942,2.93294,-2.97537,-2.25705,0,0,0
M15033,M,298.2,308,1591,33.7,32,-1.71727,-2.59368,1.32194,-1.49912,-2.16041,0,0,0
L47354,L,298.2,308.1,1306,58.3,35,-1.72411,-2.48752,-2.9541,2.94215,-2.06945,0,0,0
L47355,L,298.2,308.1,1382,43.5,37,-1.74707,-2.47298,-2.2128,0.858347,-2.02911,0,0,0
L47356,L,298.2,308.1,1618,34.7,39,-1.72323,-2.45523,1.6154,-1.27928,-1.96654,0,0,0
L47357,L,298.2,308.2,1988,21.4,41,-1.71205,-2.45636,2.99474,-2.94515,-1.90674,0,0,0
L47358,L,298.2,308.2,1436,50.2,43,-1.76727,-2.46982,-1.31141,2.21446,-1.87696,0,0,0
L47359,L,298.2,308.3,1304,49.8,45,-1.77008,-2.35012,-3.01251,2.13083,-1.80468,0,0,0
L47360,L,298.2,308.3,1475,49.9,47,-1.7432,-2.31654,-0.482002,2.14604,-1.71653,0,0,0
H29595,H,298.2,308.3,1824,24.2,49,-1.7641,-2.36012,2.77576,-2.7957,-1.64677,0,0,0
M15042,M,298.1,308.2,1342,48.1,54,-1.80457,-2.41819,-2.73667,1.83349,-1.53415,0,0,0
L47363,L,298.1,308.2,1485,40.7,57,-1.79767,-2.44501,-0.333615,0.158898,-1.4875,0,0,0
L47364,L,298.2,308.2,1667,30.6,59,-1.75857,-2.44997,2.0673,-2.04161,-1.36189,0,0,0
L47365,L,298.2,308.2,1446,38.2,61,-1.78508,-2.45169,-1.10867,-0.43332,-1.3513,0,0,0
L47366,L,298.1,308.3,1301,56,63,-1.77912,-2.37369,-3.02506,2.84729,-1.29093,0,0,0
L47367,L,298.2,308.4,1379,43.1,65,-1.80132,-2.14314,-2.2694,0.765572,-1.2234,0,0,0
L47368,L,298.3,308.5,1606,33.6,67,-1.6566,-2.03309,1.47968,-1.48547,-1.169,0,0,0
M15049,M,298.3,308.4,1539,43.4,69,-1.67419,-2.14393,0.596672,0.798247,-1.12123,0,0,0
L47370,L,298.2,308.4,1477,49.9,72,-1.78195,-2.11119,-0.498064,2.15995,-1.00295,0,0,0
L47371,L,298.2,308.4,1666,34.6,74,-1.75788,-2.08678,2.04218,-1.26906,-0.96235,0,0,0
H29606,H,298.2,308.4,1398,51.8,76,-1.72689,-2.09693,-2.04499,2.39431,-0.894948,0,0,0
H29607,H,298.2,308.4,1678,34.6,81,-1.6992,-2.11558,2.14083,-1.27361,-0.760086,0,0,0
M15054,M,298.2,308.5,2678,10.7,86,-1.67131,-2.0262,3.08792,-3.12169,-0.644287,0,1,1
L47375,L,298.3,308.5,1453,42.9,89,-1.6198,-2.05069,-0.964338,0.707111,-0.544443,0,0,0
H29610,H,298.3,308.6,1432,49.5,91,-1.66162,-1.894,-1.40011,2.0969,-0.449836,0,0,0
M15057,M,298.4,308.6,1527,40.9,96,-1.47279,-1.84106,0.422903,0.202652,-0.330648,0,0,0
L47378,L,298.4,308.7,1588,35,99,-1.44941,-1.68664,1.28915,-1.21619,-0.24873,0,0,0
L47379,L,298.4,308.6,1433,47.1,101,-1.48984,-1.84083,-1.39125,1.64256,-0.199036,0,0,0
L47380,L,298.4,308.6,1609,35,103,-1.46529,-1.85293,1.52688,-1.17067,-0.138663,0,0,0
L47381,L,298.3,308.5,1575,41.2,105,-1.61348,-1.98924,1.12747,0.274157,-0.0644771,0,0,0
M15062,M,298.4,308.5,1636,35.7,107,-1.46621,-2.0068,1.80792,-1.09834,-0.0243007,0,0,0
L47383,L,298.4,308.5,1490,37.9,110,-1.51306,-1.9991,-0.251083,-0.554348,0.0543617,0,0,0
L47384,L,298.4,308.5,1741,32.8,112,-1.4601,-2.03455,2.45663,-1.66657,0.0882849,0,0,0
M15065,M,298.5,308.6,1344,53,114,-1.46416,-1.84089,-2.75086,2.56871,0.152581,0,0,0
L47386,L,298.5,308.7,1609,35.3,117,-1.43507,-1.68683,1.52656,-1.1262,0.310642,0,0,0
M15067,M,298.4,308.7,1421,60.7,119,-1.45915,-1.67858,-1.62891,3.02979,0.315835,0,1,1
L47388,L,298.4,308.6,1591,36.7,122,-1.48598,-1.9163,1.36905,-0.848618,0.409701,0,0,0
L47389,L,298.4,308.6,1477,44,124,-1.47243,-1.88097,-0.515671,0.955696,0.436415,0,0,0
L47390,L,298.4,308.7,1523,36.1,126,-1.5015,-1.63289,0.375701,-0.990733,0.499325,0,0,0
L47391,L,298.5,308.7,1575,33.9,128,-1.446,-1.65784,1.12617,-1.44669,0.590407,0,0,0
H29626,H,298.4,308.7,1344,52.9,130,-1.50041,-1.69671,-2.75334,2.51024,0.621564,0,0,0
L47393,L,298.4,308.7,1386,44.9,135,-1.59876,-1.67487,-2.21517,1.18552,0.821194,0,0,0
M15074,M,298.3,308.6,1589,37.1,137,-1.56273,-1.90389,1.32649,-0.692184,0.838644,0,0,0
L47395,L,298.3,308.6,1548,40.3,140,-1.61468,-1.88809,0.711587,0.0894191,0.865782,0,0,0
L47396,L,298.3,308.6,1499,38.3,142,-1.62089,-1.89066,-0.085909,-0.428018,0.988433,0,0,0
L47397,L,298.3,308.5,1664,31.6,144,-1.62188,-2.0039,2.00145,-1.85637,1.02652,0,0,0
L47398,L,298.3,308.6,1447,38.1,146,-1.61935,-1.88023,-1.11182,-0.493797,1.12326,0,0,0
M15079,M,298.3,308.5,1434,46.2,148,-1.60183,-2.03899,-1.31606,1.48472,1.11209,0,0,0
L47400,L,298.3,308.5,1416,52.7,151,-1.60215,-1.97458,-1.68926,2.53309,1.24462,0,0,0
H29635,H,298.4,308.5,1827,24.3,153,-1.56685,-2.02775,2.74071,-2.74499,1.3024,0,0,0
L47402,L,298.4,308.6,1304,45,158,-1.568,-1.90806,-2.99085,1.16116,1.42675,0,0,0
L47403,L,298.4,308.6,1569,34.4,160,-1.53268,-1.87607,1.07038,-1.33402,1.50883,0,0,0
L47404,L,298.3,308.6,1584,29.3,162,-1.6101,-1.88891,1.27276,-2.26321,1.58033,0,0,0
L47405,L,298.3,308.5,1362,53.8,164,-1.62509,-2.03659,-2.55416,2.62508,1.60573,0,0,0
L47406,L,298.3,308.4,1329,49.2,166,-1.6395,-2.15145,-2.86914,1.98559,1.6388,0,0,0
L47407,L,298.3,308.5,1539,36.1,168,-1.66406,-2.02178,0.612745,-0.949943,1.70521,0,0,0
M15088,M,298.3,308.5,1629,37.1,170,-1.60521,-1.98479,1.7465,-0.71086,1.81089,0,0,0
L47409,L,298.3,308.5,1538,32.2,173,-1.54028,-1.9938,0.58681,-1.74497,1.86557,0,0,0
L47410,L,298.3,308.6,1570,34.8,175,-1.60096,-1.9033,1.08458,-1.28469,1.93745,0,0,0
L47411,L,298.3,308.4,1408,43.1,177,-1.58615,-2.19596,-1.86648,0.734896,1.97435,0,0,0
L47412,L,298.2,308.4,1424,47.6,179,-1.69494,-2.21996,-1.57212,1.72119,2.00388,0,0,0
L47413,L,298.2,308.4,1512,34.9,181,-1.72912,-2.22389,0.170245,-1.26909,2.08076,0,0,0
L47414,L,298.2,308.4,1478,42.9,183,-1.68483,-2.22391,-0.485306,0.683314,2.11845,0,0,0
M15095,M,298.1,308.3,1680,33.7,185,-1.8285,-2.2519,2.11545,-1.48362,2.23146,0,0,0
L47416,L,298.1,308.3,1495,38.7,188,-1.81359,-2.29979,-0.153589,-0.329652,2.30649,0,0,0
M15097,M,298,308.1,1552,36.6,190,-2.03027,-2.53853,0.796884,-0.847561,2.3755,0,0,0
L47418,L,297.9,308.1,1393,50.3,193,-2.071,-2.51702,-2.10506,2.23676,2.46858,0,0,0
L47419,L,298,308.2,1611,30.6,195,-1.96118,-2.41291,1.55877,-2.0584,2.51878,0,0,0
M15100,M,298,308.1,1339,51.6,197,-2.02067,-2.53516,-2.77427,2.3906,2.52777,0,0,0
L47421,L,298,308.1,1777,24.3,200,-2.01241,-2.54039,2.64257,-2.74135,2.64519,0,0,0
L47422,L,298,308.2,1348,58.8,202,-2.00467,-2.48371,-2.68524,2.94846,2.70729,0,1,1
